canonical_venue,month,temp_c_mean,precip_mm_daily_mean,windmax_kmh_mean,rh_pct_mean,source,period
"Wankhede Stadium, Mumbai",1,23.55,0.04,19.24,65.9,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",2,24.76,0.04,21.27,62.8,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",3,26.78,0.09,21.93,66.2,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",4,28.44,0.01,22.33,73.9,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",5,29.65,0.99,21.71,75.4,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",6,28.18,15.16,22.62,83.2,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",7,26.80,24.72,24.92,87.9,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",8,26.62,13.97,23.08,86.9,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",9,26.79,14.00,18.82,86.5,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",10,27.66,3.45,16.02,80.3,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",11,27.01,0.20,17.12,66.5,open-meteo-archive,2015-01-01..2024-12-31
"Wankhede Stadium, Mumbai",12,25.22,0.56,17.29,66.0,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",1,18.88,0.60,11.19,72.0,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",2,22.66,0.85,11.83,67.5,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",3,26.71,1.25,13.99,68.0,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",4,29.74,2.62,18.12,71.2,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",5,30.01,4.69,19.20,76.8,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",6,29.71,7.85,17.96,81.6,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",7,28.47,12.97,17.40,85.8,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",8,28.19,12.35,16.24,86.7,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",9,28.01,9.76,14.74,87.2,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",10,26.89,5.76,11.76,83.0,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",11,23.77,1.12,10.53,73.7,open-meteo-archive,2015-01-01..2024-12-31
"Eden Gardens, Kolkata",12,20.13,1.02,10.76,72.9,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",1,4.19,1.81,23.48,87.9,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",2,5.10,2.08,25.07,83.8,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",3,6.19,2.26,23.73,81.2,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",4,8.11,1.63,20.27,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",5,11.84,2.28,19.69,75.2,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",6,14.98,2.44,19.37,74.3,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",7,16.74,2.29,19.50,73.6,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",8,16.35,2.21,19.99,76.3,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",9,14.04,2.39,20.12,80.5,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",10,10.86,2.57,21.96,85.1,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",11,7.15,2.35,22.23,88.3,open-meteo-archive,2015-01-01..2024-12-31
"Edgbaston, Birmingham",12,5.90,2.44,23.47,89.9,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",1,21.03,0.40,16.09,64.4,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",2,22.85,0.13,16.84,53.2,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",3,25.66,0.47,16.70,48.6,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",4,27.18,1.06,15.35,52.2,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",5,25.79,3.85,15.04,69.5,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",6,23.59,4.59,21.05,78.9,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",7,22.74,5.32,23.50,80.9,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",8,22.74,4.67,20.83,80.4,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",9,22.68,4.83,18.16,81.0,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",10,22.54,4.54,14.02,77.4,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",11,21.74,3.63,16.44,76.2,open-meteo-archive,2015-01-01..2024-12-31
"M Chinnaswamy Stadium, Bengaluru",12,20.90,1.18,16.36,74.0,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",1,20.57,2.33,10.59,72.1,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",2,20.87,2.43,10.84,72.7,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",3,20.53,2.93,10.24,76.0,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",4,19.87,4.48,9.58,80.7,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",5,20.19,1.91,9.87,74.5,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",6,20.52,0.32,10.55,61.1,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",7,21.11,0.08,11.22,51.1,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",8,21.67,0.81,12.43,54.3,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",9,21.33,1.72,13.36,64.7,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",10,20.77,3.40,12.94,70.7,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",11,19.89,3.97,11.72,77.5,open-meteo-archive,2015-01-01..2024-12-31
"Gahanga International Cricket Stadium, Rwanda",12,19.91,3.18,11.08,77.6,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",1,11.60,1.35,10.71,79.4,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",2,15.61,1.16,13.35,68.7,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",3,20.44,1.72,15.59,62.6,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",4,26.74,0.75,17.71,44.8,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",5,31.59,0.49,17.86,36.1,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",6,33.08,1.49,16.31,48.4,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",7,30.64,4.75,14.69,74.4,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",8,30.04,4.32,12.92,76.9,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",9,29.42,1.80,12.06,69.1,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",10,25.33,0.60,11.95,60.5,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",11,18.96,0.40,11.21,68.2,open-meteo-archive,2015-01-01..2024-12-31
"Gaddafi Stadium, Lahore",12,13.72,0.27,9.74,72.9,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",1,4.75,1.98,23.02,86.5,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",2,5.94,1.89,25.21,82.2,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",3,7.32,1.86,24.15,79.2,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",4,9.31,1.35,20.69,73.7,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",5,13.01,1.86,20.50,73.7,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",6,16.43,2.02,20.10,72.3,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",7,18.39,1.96,20.43,70.5,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",8,18.03,1.81,20.25,73.9,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",9,15.54,2.11,20.05,77.5,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",10,12.15,2.48,21.77,83.3,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",11,8.18,2.18,21.65,86.2,open-meteo-archive,2015-01-01..2024-12-31
"Kennington Oval, London",12,6.81,2.10,22.62,88.0,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",1,24.15,3.10,23.33,77.2,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",2,24.25,3.44,22.48,78.0,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",3,23.66,2.70,22.13,79.0,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",4,21.43,3.31,21.24,77.4,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",5,19.57,2.16,19.15,73.9,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",6,17.54,0.66,19.31,67.2,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",7,16.96,1.06,20.37,64.9,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",8,17.82,1.03,22.33,69.3,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",9,19.04,2.30,23.84,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",10,20.03,3.16,24.91,76.3,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",11,21.43,2.89,24.26,77.4,open-meteo-archive,2015-01-01..2024-12-31
"Kingsmead, Durban",12,23.16,3.18,23.28,78.8,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",1,4.41,1.63,24.94,86.4,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",2,5.41,2.00,26.84,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",3,6.58,2.22,25.29,79.8,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",4,8.44,1.52,21.92,74.6,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",5,12.16,2.14,21.13,74.8,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",6,15.25,2.23,20.92,74.0,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",7,17.19,2.34,20.96,72.7,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",8,16.85,2.20,22.05,74.8,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",9,14.41,2.22,21.56,79.2,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",10,11.22,2.53,23.61,83.8,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",11,7.42,2.17,23.45,87.0,open-meteo-archive,2015-01-01..2024-12-31
"Trent Bridge, Nottingham",12,6.07,2.23,24.87,88.6,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",1,26.12,2.52,16.17,76.9,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",2,26.88,1.91,15.82,76.1,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",3,27.43,3.42,14.03,79.8,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",4,27.67,5.33,13.58,82.6,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",5,27.37,13.61,17.81,85.9,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",6,27.07,10.17,19.62,85.7,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",7,26.92,7.21,19.89,85.2,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",8,26.65,7.85,19.61,85.7,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",9,26.43,9.78,18.24,86.2,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",10,26.13,12.66,15.77,87.3,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",11,25.77,12.98,13.30,87.7,open-meteo-archive,2015-01-01..2024-12-31
"R Premadasa Stadium, Colombo",12,25.91,5.43,14.21,83.8,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",1,24.99,0.84,17.01,75.7,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",2,25.69,0.18,16.73,75.1,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",3,27.54,0.36,19.29,77.0,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",4,29.53,0.41,22.47,77.2,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",5,30.56,2.60,22.59,74.7,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",6,30.42,2.32,21.74,69.5,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",7,29.56,3.43,20.24,71.0,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",8,29.03,4.31,18.83,75.0,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",9,28.54,4.74,17.51,79.0,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",10,27.61,6.27,15.87,81.5,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",11,26.14,12.45,19.39,83.2,open-meteo-archive,2015-01-01..2024-12-31
"MA Chidambaram Stadium, Chepauk, Chennai",12,25.45,5.56,19.88,79.1,open-meteo-archive,2015-01-01..2024-12-31
