canonical_venue,t20_matches,latitude,longitude,altitude_m,boundary_straight_m_min,boundary_straight_m_max,boundary_square_m_min,boundary_square_m_max,dimensions_source,dimensions_obs_date,climate_normals_source,notes,coord_source
"Wankhede Stadium, Mumbai",175,18.93889,72.82583,6,68,72,64,68,https://www.mykhel.com/cricket/ipl-2023-wankhede-stadium-mumbai-ipl-stats-and-records-pitch-report-weather-forecast-schedule-211830.html,2023-03-29,,"It has around 64 to 68 metres across the square boundaries, while the length is around 68 to 72 metres in the straighter boundaries.",wikipedia:Wankhede Stadium
"Eden Gardens, Kolkata",145,22.56472,88.34333,5,76,78,66,68,https://thesportsrush.com/cricket-news-eden-gardens-boundary-dimensions-and-ground-size-is-eden-gardens-a-small-ground/,2023-01-12,,"boundary size of the Eden Gardens is around 66-68 metre for the square boundaries; ""the straight boundaries at this stadium ... mostly measured to be around 76-78 metre""",manual:approx_known
"Edgbaston, Birmingham",127,52.45583,-1.90250,111,59,60,,50,https://www.mykhel.com/cricket/india-vs-england-2nd-t20i-birmingham-edgbaston-stadium-pitch-report-weather-forecast-stats-boundary-193358.html,2022-07-07,,"The straight and side boundaries measure up to 59-60 meter; ""the square boundary is less than 50 meter and is one of the shortest in international cricket"" — square given only as upper bound (<50m), so square_min left empty",wikipedia:Edgbaston Cricket Ground
"M Chinnaswamy Stadium, Bengaluru",116,12.97889,77.59944,929,60,65,50,55,https://thesportsrush.com/cricket-news-m-chinnaswamy-stadium-boundary-length-ground-size-chinnaswamy-stadium-bengaluru-boundary-dimensions/,2022-06-19,,"the boundary sideways ranges from 50-55 metres, whereas the front and back boundaries are around 60-65 metres — sideways mapped to square, front/back to straight",wikipedia:M. Chinnaswamy Stadium
"Gahanga International Cricket Stadium, Rwanda",115,-2.02944,30.10722,1505,65,70,70,75,https://pitch-report.com/gahanga-international-cricket-stadium-kigali-city-pitch-report/,,,"Straight boundaries ""approximately 65 to 70 meters""; square boundaries ""around 70 to 75 meters"" — source unusually lists square LONGER than straight; no publication date visible on page",wikipedia:Rwanda Cricket Stadium
"Gaddafi Stadium, Lahore",109,31.51306,74.33333,214,75,80,75,80,https://thesportsrush.com/cricket-news-gaddafi-stadium-boundary-length-what-is-gaddafi-stadium-lahore-boundary-size-and-ground-dimension/,2022-09-28,,"The square and straight boundary cushions at the Gaddafi Stadium from the centre-pitch can comfortably cover the distance of 75-80 meters — single 75-80m range applied to both directions; boundaries ""significantly reduced"" for PSL matches",manual:approx_known
"Kennington Oval, London",104,51.48361,-0.11500,5,66,68,67,70,https://www.mykhel.com/cricket/india-vs-england-1st-odi-london-kennington-oval-pitch-report-weather-forecast-boundary-length-stats-193530.html,2022-07-10,,"Boundary length: Onside: 67M, Off-side: 70M, Vauxhall End: 68M, Pavilion End: 66M — ends mapped to straight, onside/offside to square",wikipedia:The Oval
"Kingsmead, Durban",103,-29.85000,31.02778,7,,,,,https://sportsistan.com/cricket/cricket-grounds/kingsmead-cricket-stadium/,2024-11-06,,"Non-directional only: ""At Kingsmead Stadium, the shortest boundary is 58 meters, and the longest is up to 68 meters"" — no straight/square split given",wikipedia:Kingsmead Cricket Ground
"Trent Bridge, Nottingham",100,52.93694,-1.13222,26,66,70,60,72,https://www.mykhel.com/cricket/india-vs-england-3rd-t20i-nottingham-trent-bridge-stadium-pitch-report-weather-boundary-length-stats-193438.html,2022-07-08,,"On-side: 72M, Off-side: 60M, Straight boundaries: 66M, 70M — on/off-side mapped to square (60-72m asymmetric), straight 66-70m",wikipedia:Trent Bridge
"R Premadasa Stadium, Colombo",99,6.93972,79.87194,3,,,,,https://sportsistan.com/cricket/cricket-grounds/r-premadasa-stadium/,2024-08-08,,"Non-directional only: ""The boundary length ranges from 68 meters (shortest) to 75 meters (longest)"" — no straight/square split given",wikipedia:R. Premadasa Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",93,13.06278,80.27944,2,66,66,68,68,https://www.mykhel.com/cricket/ipl-2023-ma-chidambaram-stadium-chennai-ipl-stats-and-records-pitch-report-weather-forecast-schedule-211754.html,2023-03-28,,It is around 68 metres on either square from the pitch and around 66 metres on the straight side from the pitch — single values recorded as min=max,wikipedia:M. A. Chidambaram Stadium
"Sheikh Zayed Stadium, Abu Dhabi",91,24.39639,54.54056,5,73,73,65,65,https://cricketboundary.com/grounds/sheikh-zayed-stadium/,,,"Dimensions measured from current satellite imagery; straight 73 m, square 65 m, stated accuracy ±2 m; single values recorded as min=max; no date visible on page",wikipedia:Sheikh Zayed Cricket Stadium
"The Rose Bowl, Southampton",90,50.92400,-1.32190,45,,,,,https://thesportsrush.com/cricket-news-southampton-cricket-stadium-boundary-size-rose-bowl-stadium-boundary-length/,2022-07-07,,"Non-directional only: ""The biggest boundary at this stadium is around 82 metres, whereas the smallest boundary is around 76 metres"" — no straight/square split given",wikipedia:Rose Bowl (cricket ground)
"Sophia Gardens, Cardiff",88,51.48722,-3.19139,10,60,60,72,74,https://thesportsrush.com/cricket-news-cardiff-cricket-ground-dimensions-sophia-gardens-cardiff-cricket-ground-boundary-length/,2022-07-28,,"The straighter boundary is the smallest on this ground, and it is just 60 metres; square from square-leg (74m) and point (72m); angled positions: mid-wicket ~84m, cover ~75m, fine-leg/third-man ~79m",wikipedia:Sophia Gardens (cricket ground)
"Old Trafford, Manchester",87,53.45639,-2.28639,26,70,73,65,77,https://www.itsonlycricket.com/manchester-cricket-ground-old-trafford,,,The boundaries on the square side ... can reach up to 77 and 65 metres. The straight boundaries are measured at 73 metres and 70 metres. — no date visible on page,wikipedia:Old Trafford Cricket Ground
"Riverside Ground, Chester-le-Street",87,54.84972,-1.56083,9,72,72,74,82,https://www.itsonlycricket.com/durham-cricket-ground,,,"Behind the bowler's arm, the two straight boundaries both measure 72 metres; ""On the square sides, there is a wide range of measurements from 74 metres up to 82 metres"". No article date visible.",wikipedia:Riverside Ground
"Sawai Mansingh Stadium, Jaipur",87,26.89403,75.80322,431,75,,72,72,https://thesportsrush.com/cricket-news-sawai-mansingh-stadium-dimensions-jaipur-cricket-stadium-boundary-length-in-meter/,2023-04-19,,"The square boundaries here are around 72 metres, whereas the mid-wicket and straight boundaries are more than 75 metres here. Straight given only as lower bound (>75), straight_max empty.",wikipedia:Sawai Mansingh Stadium
"Bellerive Oval, Hobart",86,-42.87722,147.37361,14,,,60,64,https://fantasykhiladi.com/cricket/pitch-report/bellerive-oval-hobart-pitch-report-and-weather-records/,2026-03-02,,"the boundary size here for square boundaries is around 60-64 metres. Longest boundary 75-78m direction-unspecified. CONFLICT: thesportslite.com (2022) claims square 56m / straight 60m — implausible, not used.",wikipedia:Bellerive Oval
"SuperSport Park, Centurion",83,-25.85972,28.19528,1423,72,75,65,68,https://thecricketstadiums.com/supersport-park-cricket-stadium/,,,"The straight boundaries vary between 72-75 meters and ""square boundaries range between 65-68 meters"". No article date visible. Secondary (fantasykhiladi 2026-03-11): shortest 60m / longest 74m direction-unspecified.",wikipedia:Centurion Park
"Headingley, Leeds",78,53.81694,-1.58222,74,70,70,66,75,https://thesportsrush.com/cricket-news-headingley-leeds-cricket-ground-boundary-size-leeds-headingley-ground-dimension-and-length/,2022-08-09,,"The straighter boundary from one end of the ground is around 70 metres; side boundaries ~66m one side, ~75m the other.",wikipedia:Headingley Cricket Ground
"Arun Jaitley Stadium, Delhi",77,28.63778,77.24306,211,68,68,65,65,https://thesportsrush.com/cricket-news-arun-jaitley-stadium-boundary-length-what-is-feroz-shah-kotla-delhi-ground-dimension-and-boundary-size-in-metre/,2022-10-10,,"This ground's straight boundaries are around 68 metres and ""the square boundaries are around 65 metres"".",wikipedia:Arun Jaitley Cricket Stadium
"Grace Road, Leicester",76,52.60778,-1.14278,68,73,73,63,63,https://www.perfectlineup.in/cricket-ground/grace-road-leicester/36710,,,63 M square boundary and 73 M straight boundary. No publication date on page.,wikipedia:Grace Road
"St Lawrence Ground, Canterbury",74,51.26700,1.09100,40,,,,,,,,"No ground-specific published dimensions found (agents checked ESPNcricinfo, Kent Cricket official, aggregators — only generic ICC-limit numbers exist). Leave for a manual/broadcast pass.",wikipedia:St Lawrence Ground
"The Cooper Associates County Ground, Taunton",74,51.01889,-3.10083,14,,,,,https://www.swlondoner.co.uk/sport/12052025-upwards-trajectory-but-no-guarantee-of-trophies-t20-run-rates-explained,2025-05-12,,"Non-directional only: ""the shortest side is 64 metres"" — no straight/square split given, columns left empty","wikipedia:County Ground, Taunton"
"County Ground, New Road, Worcester",73,52.18917,-2.22694,19,,,,,,,,"No published numeric dimensions found (qualitative ""short boundaries"" only). Leave for a manual/broadcast pass.","wikipedia:New Road, Worcester"
"Newlands, Cape Town",73,-33.97917,18.45000,58,77,77,,,https://fantasykhiladi.com/cricket/pitch-report/newlands-cape-town/,2026-01-16,,"The size of the straight boundary is 77 meters. Also, the shortest boundary is 59 meters. Shortest-boundary direction unspecified, square columns left empty.","wikipedia:Newlands, Cape Town"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",73,17.40639,78.55028,496,69,71,66,69,https://thesportsrush.com/cricket-news-hyderabad-cricket-stadium-boundary-length-rajiv-gandhi-international-stadium-ground-size-in-metres/,2023-01-18,,"The straighter boundaries in Hyderabad are around 69-71 metres and ""the square boundaries are around 66-69 metres"". Behind-wicket boundaries 55-58m.",wikipedia:Rajiv Gandhi International Cricket Stadium
"Brisbane Cricket Ground, Woolloongabba, Brisbane",72,-27.48583,153.03806,13,,,,,https://www.mykhel.com/cricket/t20-world-cup-2022-brisbane-cricket-ground-pitch-report-capacity-boundary-length-weather-stats-199933.html,2022-10-17,,"Non-directional only: ""Boundary length: 82x72 M"" — axes not identified as straight vs square, columns left empty",wikipedia:The Gabba
"Docklands Stadium, Melbourne",72,-37.81639,144.94750,21,85,85,70,70,https://www.perfectlineup.in/cricket-ground/docklands-stadium-melbourne/264,,,70 M square boundary and 85 M straight boundary. No publication date on page.,wikipedia:Docklands Stadium
"Hagley Oval, Christchurch",59,-43.53400,172.61900,11,63,63,74,74,https://thesportsrush.com/cricket-news-christchurch-cricket-ground-dimensions-hagley-oval-cricket-ground-boundary-length-in-meters/,2022-11-29,,"The straight boundaries at this ground are quite small, and they are just 63 meters; ""square boundaries are around 74 meters"". CONFLICT: other snippets claim the reverse (83.6 straight / 77.5 square); only the loaded source recorded.",wikipedia:Hagley Oval
"Lord's, London",59,51.52940,-0.17270,48,,,,,,,,,wikipedia:Lord's
"St George's Park, Port Elizabeth",59,-33.96639,25.61028,73,,,,,,,,,wikipedia:St George's Park Cricket Ground
"New Wanderers Stadium, Johannesburg",58,-26.13111,28.05750,1619,,,,,,,,"Same physical ground as 'The Wanderers Stadium, Johannesburg' — two I7 canonicals for one venue; dedupe on any physical join",wikipedia:Wanderers Stadium
"Terdthai Cricket Ground, Bangkok",52,13.69360,100.85160,1,,,,,,,,,wikipedia:Terdthai Cricket Ground
"Narendra Modi Stadium, Ahmedabad",47,23.09194,72.59778,54,,,,,,,,,manual:approx_known
"Basin Reserve, Wellington",45,-41.30028,174.78028,8,,,,,,,,,wikipedia:Basin Reserve
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",45,17.79700,83.35200,55,,,,,,,,,wikipedia:ACA–VDCA Cricket Stadium
"Senwes Park, Potchefstroom",45,-26.69566,27.10077,1335,,,,,,,,,wikipedia:JB Marks Oval
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",42,26.13996,-80.19869,2,,,,,,,,,wikipedia:Central Broward Park
"Seddon Park, Hamilton",42,-37.78667,175.27417,39,,,,,,,,,wikipedia:Seddon Park
"The Wanderers Stadium, Johannesburg",42,-26.13111,28.05750,1619,,,,,,,,"Same physical ground as 'New Wanderers Stadium, Johannesburg' — two I7 canonicals for one venue; dedupe on any physical join",wikipedia:Wanderers Stadium
"ICC Academy, Dubai",41,25.04167,55.21944,18,,,,,,,,,wikipedia:Dubai Sports City
"Eden Park Outer Oval, Auckland",40,-36.87500,174.74472,49,,,,,,,,,wikipedia:Eden Park
"Maharashtra Cricket Association Stadium, Pune",39,18.67444,73.70667,590,,,,,,,,,wikipedia:Maharashtra Cricket Association Stadium
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",39,6.35403,81.02681,81,,,,,,,,,wikipedia:Mahinda Rajapaksa International Cricket Stadium
"Boland Park, Paarl",38,-33.74139,18.99833,145,,,,,,,,,wikipedia:Boland Park
"Eden Park, Auckland",38,-36.87500,174.74472,49,,,,,,,,,wikipedia:Eden Park
"Saurashtra Cricket Association Stadium, Rajkot",38,22.36300,70.71000,111,,,,,,,,,wikipedia:Niranjan Shah Stadium
"Bay Oval, Mount Maunganui",36,-37.65278,176.19083,3,,,,,,,,,wikipedia:Bay Oval
"Barabati Stadium, Cuttack",35,20.48111,85.86861,28,,,,,,,,,wikipedia:Barabati Stadium
