batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs
bbd41817,AD Russell,408.8903,0.3786,1080,395.2434
c4487b84,AB de Villiers,372.9887,0.2224,1677,353.2187
919a3be2,RR Pant,328.3351,0.1953,1681,219.9457
dcce6f09,DA Warner,323.4594,0.1349,2397,132.9556
99b75528,JC Buttler,237.3763,0.1378,1722,192.8084
8b3e9c7c,PP Shaw,203.7839,0.2177,936,150.8575
9d430b40,SP Narine,198.5811,0.3754,529,190.864
b681e71e,GJ Maxwell,175.9067,0.1586,1109,96.3441
b8a55852,BB McCullum,141.9857,0.1606,884,98.4459
77255a9e,RA Tripathi,130.6284,0.116,1126,65.6458
b17e2f24,KL Rahul,116.5145,0.0525,2220,43.2312
db584dad,CH Gayle,113.0609,0.078,1449,73.417
c03f1114,KD Karthik,103.6283,0.0669,1550,55.0212
45eda7c8,CA Lynn,102.7095,0.1126,912,91.6763
fb66ce1f,CH Morris,100.1345,0.267,375,84.506
35205dfc,DR Smith,92.6553,0.1278,725,59.8949
271f83cd,SA Yadav,92.0635,0.0611,1506,14.0726
50c6bc2b,LS Livingstone,89.8738,0.2553,352,77.8367
abb83e27,JM Bairstow,86.8699,0.1334,651,44.1079
b5da6c24,PA Patel,81.8196,0.074,1106,47.247
372455c4,Q de Kock,80.9312,0.0507,1597,8.9724
4329fbb5,SR Watson,65.5729,0.0559,1174,13.6002
6c19c6e5,YBK Jaiswal,61.7071,0.1686,366,42.8823
f1f99156,TH David,54.3638,0.5783,94,53.2859
b8d490fd,AJ Finch,48.1097,0.0681,706,49.8219
a4cc73aa,SV Samson,47.2984,0.0241,1962,-36.1329
5f547c8b,Rashid Khan,47.1614,0.2591,182,39.6192
800d2d97,JM Sharma,46.9596,0.3152,149,42.7281
45a43fe2,RD Gaikwad,46.6955,0.0605,772,-10.293
ded9240e,PJ Cummins,43.7591,0.3126,140,46.0861
bb351c23,MM Ali,40.9283,0.0644,636,14.396
e94915e6,SM Curran,38.9722,0.4585,85,36.2505
2e11c706,BCJ Cutting,33.3177,0.238,140,36.4354
508a1ea7,SE Marsh,32.3849,0.0816,397,9.9897
90de905a,K Gowtham,31.4796,0.3577,88,27.5567
2be41edb,MJ Guptill,27.4444,0.1393,197,22.5199
650d5e49,R Powell,26.5259,0.1524,174,23.8901
c740ea83,RM Patidar,25.5262,0.0859,297,13.7033
1c2a64cd,A Ashish Reddy,22.2496,0.2928,76,16.2467
48a1d7b7,SO Hetmyer,22.1807,0.0493,450,12.398
e342e5fb,CR Brathwaite,22.0043,0.1834,120,19.8199
dbe50b21,HH Pandya,21.3251,0.0172,1239,-17.1281
f29185a1,Abhishek Sharma,20.2344,0.0448,452,-2.002
0ebfb1ad,E Lewis,18.1349,0.0363,499,-12.0215
6c882e9a,PBB Rajapaksa,18.0656,0.1319,137,13.4516
fb2d1dda,N Rana,17.6785,0.0125,1417,-36.4631
f986ca1a,HV Patel,17.5822,0.1256,140,10.4977
62af8546,Mohammad Nabi,14.421,0.1222,118,6.8167
c18496e1,Bipul Sharma,14.3848,0.2766,52,14.4163
a757b0d8,KA Pollard,13.6204,0.0102,1336,-30.4322
844e79d1,D Brevis,13.5625,0.1169,116,9.3616
1e66c162,JD Unadkat,13.529,0.1176,115,11.6908
e798611a,HM Amla,12.7524,0.0305,418,12.905
495d42a5,R Ashwin,12.3581,0.0344,359,-3.3136
87e562a9,DJ Bravo,11.6913,0.0261,448,-8.6429
0f12f9df,NLTC Perera,11.284,0.1008,112,3.5216
752f7486,Ishan Kishan,11.2232,0.0104,1083,-53.9012
23eeb873,DL Chahar,10.9893,0.2338,47,8.5176
1abb78f8,SN Thakur,10.7397,0.0918,117,12.1433
7c503806,J Botha,10.6566,0.7104,15,11.3066
6a26221c,AK Markram,10.6505,0.0266,400,-16.5652
c3d35165,JA Morkel,10.605,0.1342,79,-0.093
5b8c830e,KH Pandya,9.8381,0.0108,911,-30.9997
1c17e270,RV Uthappa,9.4238,0.0058,1623,-6.0922
df5a6881,DP Conway,8.232,0.0468,176,-0.6304
eef2536f,Avesh Khan,7.392,0.3891,19,6.4478
11614d87,D Pretorius,6.7898,0.2425,28,6.7691
af2c687b,C Munro,6.6846,0.0464,144,-6.5912
a24be938,VR Iyer,6.277,0.0132,474,-50.1943
26989d80,Shashank Singh,6.2768,0.1335,47,5.9521
b274dbbd,ER Dwivedi,5.9344,0.3956,15,6.3367
68c56d09,KA Jamieson,5.8624,0.1066,55,0.4331
4ec07775,RN ten Doeschate,5.7939,0.1288,45,2.7136
c5aef772,R Shepherd,5.1884,0.1207,43,3.7037
f088b960,SN Khan,5.1526,0.0142,364,-14.4229
0890552f,A Manohar,4.9013,0.062,79,0.9577
d1c36f5c,JJ Roy,4.8626,0.0184,264,-10.1792
331ea488,UT Khawaja,4.825,0.046,105,-4.5075
aa8d28ae,D Wiese,4.3934,0.0467,94,4.4322
2f9d0389,LH Ferguson,4.3717,0.2429,18,2.3512
33a364a6,R Bhatia,4.2247,0.1112,38,2.7846
5574750c,JC Archer,4.2123,0.0679,62,1.2345
a9da7784,KJ Abbott,3.9109,0.4889,8,3.5964
2af1b6d2,AN Ahmed,3.6363,0.7273,5,3.9547
9a0146b3,P Sahu,3.6285,0.2791,13,3.5276
8fd1a8f5,DW Steyn,3.6125,0.2408,15,3.0469
541f85c9,SP Goswami,3.3635,0.0801,42,-0.5467
8e514b4c,Abdul Samad,3.2141,0.0335,96,-11.1861
c03e2850,M Vohra,2.987,0.0061,491,-7.1108
24d94623,Ankit Sharma,2.8914,0.1157,25,2.0015
6834d1f2,B Stanlake,2.7745,1.3872,2,2.4924
5bb1a1c4,I Sharma,2.7425,0.1714,16,1.3867
0a509d6b,RK Singh,2.5809,0.0134,193,-5.7784
663b5e34,PN Mankad,2.2451,2.2451,1,2.2648
ffe699c0,CJ Jordan,2.2095,0.0631,35,0.6832
9385de2e,SS Prabhudessai,2.2056,0.0356,62,-0.2906
529eb9e0,OC McCoy,2.195,0.439,5,1.7924
18e6906e,A Choudhary,1.7318,0.0866,20,2.4283
cad00a4d,RR Rossouw,1.2921,0.1292,10,1.8888
327b58d3,PVD Chameera,1.2205,0.0381,32,1.8999
4125d931,J Suchith,1.1563,0.0186,62,-2.4168
378daa89,Aman Hakim Khan,1.0638,0.3546,3,1.1685
cc1e8c68,UT Yadav,1.0004,0.0088,114,0.4423
2e171977,AR Patel,0.6237,0.0008,768,-24.8077
8ac93ca2,P Chopra,0.2766,0.0461,6,-0.1982
b8527c3d,Rasikh Salam,0.2023,0.0202,10,0.6894
765a4731,Mukesh Choudhary,0.1682,0.028,6,0.1784
f24c6701,M Theekshana,0.1622,0.0232,7,0.049
5bb5a915,M Morkel,0.0565,0.0141,4,0.3318
92aeac25,AD Hales,-0.074,-0.0006,119,-5.8632
c33d8116,Mohsin Khan,-0.0772,-0.0041,19,0.6848
44a89551,KS Bharat,-0.1152,-0.0007,168,-21.3788
edb3d4f8,KC Cariappa,-0.2913,-0.0139,21,-1.0359
77b1aa15,Harshit Rana,-0.3109,-0.1554,2,-0.3316
b2b23612,RG More,-0.3411,-0.1705,2,-0.2376
39ed0d2f,KS Sharma,-0.3596,-0.0899,4,-0.4338
dfc4d8b5,KW Richardson,-0.3632,-0.3632,1,-0.3467
dec8e038,J Theron,-0.3801,-0.3801,1,-0.3467
66b30f71,AB Dinda,-0.6398,-0.08,8,-0.9436
9601c534,SD Lad,-0.665,-0.0512,13,-0.2305
51a3c5ef,MJ McClenaghan,-0.7141,-0.0098,73,-2.6704
5afd4539,MS Bisla,-0.7269,-0.0242,30,0.8425
f708a0bc,GB Hogg,-0.7922,-0.132,6,-0.6329
99ed60f8,JPR Scantlebury-Searles,-0.8011,-0.1335,6,-0.4242
64775749,RP Meredith,-0.9419,-0.9419,1,-0.9504
1da489ff,S Kaushik,-0.9803,-0.9803,1,-0.9888
bdadf7da,JL Denly,-1.0256,-1.0256,1,-0.9738
b410bd3d,S Lamichhane,-1.0331,-1.0331,1,-1.0288
30a2649b,CM Gautam,-1.0866,-0.2173,5,-1.6689
f0f628c7,MM Patel,-1.1321,-1.1321,1,-1.0288
00ea847a,MA Agarwal,-1.1493,-0.0011,1068,-28.8431
7210d461,Yash Dayal,-1.1765,-1.1765,1,-1.2018
a4e37e47,S Dube,-1.1809,-0.0027,432,-23.2249
c8179c68,SB Jakati,-1.2309,-0.6154,2,-1.1476
cfa4bd2b,Y Prithvi Raj,-1.2363,-1.2363,1,-1.3424
0a67aec0,Akash Deep,-1.4728,-0.7364,2,-1.7027
1a2676c5,SA Abbott,-1.4832,-0.0824,18,-0.7375
13c35c9e,TG Southee,-1.5685,-0.0151,104,-5.5945
b56dc5f7,BE Hendricks,-1.5756,-0.7878,2,-1.7433
e4cdf230,AS Roy,-1.7022,-0.8511,2,-1.7492
2c76b512,DJ Muthuswami,-1.9627,-0.6542,3,-1.9796
81049310,J Yadav,-2.0523,-0.054,38,-8.8776
0f721006,JO Holder,-2.3101,-0.0166,139,-15.5153
14f96089,A Zampa,-2.3728,-0.2966,8,-2.9618
32198ae0,MC Henriques,-2.4928,-0.0041,615,-56.7319
44afbf2d,NJ Maddinson,-2.5066,-0.3581,7,-3.3772
b4f5c2d9,KL Nagarkoti,-2.5195,-1.2597,2,-2.4802
85b3fab2,T Stubbs,-2.6067,-0.6517,4,-2.5874
30df8c66,Simarjeet Singh,-2.6737,-0.3342,8,-2.8404
d2a989fc,DS Kulkarni,-2.7501,-0.0688,40,-3.5023
5d2eea49,Kartik Tyagi,-2.7826,-0.2783,10,-3.0232
8cf9814c,Mohammed Shami,-2.8266,-0.0533,53,-4.4974
b2a79f17,B Laughlin,-2.8334,-0.7084,4,-3.1652
a12e1d51,SL Malinga,-2.8754,-0.2054,14,-3.1622
e412cb64,HF Gurney,-2.9362,-0.5872,5,-3.8096
2e78f685,KR Sen,-3.0018,-1.0006,3,-3.0864
7d92277a,Mujeeb Ur Rahman,-3.0191,-0.2516,12,-3.7496
9a46c4e5,GD Phillips,-3.0713,-0.0931,33,-9.65
33ffc3dd,R Sanjay Yadav,-3.1061,-1.553,2,-3.1063
5b16a806,A Dananjaya,-3.1365,-0.6273,5,-3.1128
f6d8a7ab,K Kartikeya,-3.1592,-0.5265,6,-3.4244
030f3089,K Yadav,-3.1827,-0.7957,4,-4.2331
26a85969,R Dhawan,-3.1996,-0.04,80,-9.755
441c72ae,P Ray Barman,-3.4304,-0.1372,25,-5.9299
41eb4a4f,R Vinay Kumar,-3.5496,-0.1972,18,-3.4604
21d4e29b,Navdeep Saini,-3.6044,-0.3277,11,-4.6296
aa5d8c9e,A Tomar,-3.6346,-0.4543,8,-3.8452
9a963804,LE Plunkett,-3.6453,-1.2151,3,-3.6703
14b14cd8,DM Bravo,-3.7716,-0.7543,5,-3.9946
a2f46292,KK Ahmed,-3.7833,-0.7567,5,-4.197
be869ccf,GHS Garton,-3.8158,-0.9539,4,-4.161
a03bba42,T Shamsi,-3.8232,-0.9558,4,-3.8544
ba6b2f91,RA Bawa,-3.8968,-0.2783,14,-4.8196
9eb1455b,NT Ellis,-3.9904,-0.21,19,-7.3899
85aae393,Iqbal Abdulla,-4.0063,-0.0742,54,-2.0807
94d7f855,C de Grandhomme,-4.0395,-0.0176,229,-7.955
a818c1be,TA Boult,-4.0775,-0.0849,48,-6.0617
1399b39c,Anmolpreet Singh,-4.3616,-0.1615,27,-5.1403
9a158001,Azhar Mahmood,-4.476,-0.5595,8,-3.7895
be24ead0,Ramandeep Singh,-4.5996,-0.1095,42,-6.2326
acee4cc4,Imran Tahir,-4.6289,-0.2723,17,-5.9699
9170ff49,Parvez Rasool,-4.7127,-0.4284,11,-5.4245
e4a0deae,MJ Santner,-4.7264,-0.0859,55,-7.6986
1647bd37,Karanveer Singh,-4.7317,-0.2957,16,-4.864
f18ba07f,Ankit Soni,-5.0069,-0.5563,9,-4.6143
acdc62f5,A Nortje,-5.1119,-0.7303,7,-5.4314
740742ef,RG Sharma,-5.1142,-0.0025,2072,-87.8819
8d92a2c3,MA Wood,-5.2289,-1.0458,5,-5.0617
9219eff0,JDS Neesham,-5.2825,-0.1822,29,-6.1838
1a156c88,DJM Short,-5.3175,-0.0521,102,-11.0417
81c08fa3,Umran Malik,-5.3482,-0.6685,8,-5.3727
5056011d,GJ Bailey,-5.5638,-0.0189,295,-26.7886
c16d4035,SW Billings,-5.7557,-0.0144,399,-24.0703
2cdce1be,C Sakariya,-5.7853,-0.2314,25,-11.3227
e9c7f0d0,Fazalhaq Farooqi,-5.9038,-0.738,8,-5.7862
dce2019b,F Behardien,-5.9809,-0.4601,13,-6.7542
81c36ee9,M Jansen,-5.9929,-0.5448,11,-6.6387
48fd7349,MEK Hussey,-6.0217,-0.0825,73,-15.7147
5b7ab5a9,CV Varun,-6.0698,-0.2759,22,-6.8696
2ed569a0,RD Chahar,-6.193,-0.0632,98,-9.1319
12b610c2,TM Head,-6.2946,-0.0417,151,-9.1067
df064e1a,Ravi Bishnoi,-6.346,-1.0577,6,-6.6551
3fb19989,MA Starc,-6.3902,-0.4564,14,-7.1455
ad9c32a2,DJ Malan,-6.5767,-0.253,26,-8.9758
983f2f61,Swapnil Singh,-6.6493,-0.3325,20,-7.8304
b0946605,AS Joseph,-6.7657,-0.3383,20,-6.5854
96fd40ae,A Nehra,-6.9159,-0.8645,8,-6.9456
0a8fce53,Mustafizur Rahman,-7.0723,-0.3215,22,-10.112
5fa06777,IK Pathan,-7.0879,-0.4169,17,-8.0311
4663bd23,TL Seifert,-7.1467,-0.2749,26,-6.6362
afe3355a,AR Bawne,-7.2359,-0.603,12,-6.9623
245c97cb,TS Mills,-7.2788,-0.5199,14,-6.7903
bb965e9a,PK Garg,-7.2841,-0.0674,108,-19.0087
d8b2f218,BB Sran,-7.6026,-0.543,14,-7.98
0c9652b0,HR Shokeen,-7.6556,-0.1595,48,-10.6536
3d8feaf8,MR Marsh,-7.6558,-0.0377,203,-15.4111
a316d663,GC Viljoen,-7.6923,-1.0989,7,-7.5435
7a8bd078,S Gopal,-7.9928,-0.0655,122,-10.7156
ce820073,Sandeep Sharma,-8.2307,-0.1829,45,-8.8102
9948e262,HE van der Dussen,-8.2425,-0.3297,25,-9.3016
03806cf8,JR Hazlewood,-8.5209,-0.3156,27,-7.8799
3355b542,F du Plessis,-8.5934,-0.0048,1797,-144.4047
a9fd84fb,M Markande,-8.6115,-0.2871,30,-8.505
626c5379,R Sathish,-8.667,-0.3611,24,-9.08
b52ffbbd,FA Allen,-8.724,-0.4592,19,-10.7542
faa7365d,DR Shorey,-8.7788,-0.4389,20,-10.7238
f846de6a,MN Samuels,-8.8092,-0.2753,32,-9.9932
dded65e7,IR Jaggi,-9.0574,-0.2264,40,-8.0679
db31895a,AS Rajpoot,-9.3287,-0.3731,25,-9.3892
c38d3503,Shivam Mavi,-9.5234,-0.2164,44,-10.9992
1ee08e9a,JA Richardson,-9.8399,-0.3936,25,-11.6496
c03c6200,DJG Sammy,-9.992,-0.5551,18,-9.954
60500956,RV Patel,-10.001,-0.3125,32,-15.0602
ada15e88,PSP Handscomb,-10.1772,-0.8481,12,-10.9006
91a4a398,Z Khan,-10.2597,-0.3946,26,-11.3832
119678fd,KV Sharma,-10.3602,-0.0636,163,-17.2625
9418198b,P Simran Singh,-10.4517,-0.201,52,-13.8463
871e9faf,Basil Thampi,-11.0964,-0.2999,37,-12.012
7c3b3b78,VG Arora,-11.235,-0.8025,14,-10.4041
7c7d63a2,AJ Tye,-11.3127,-0.1571,72,-9.3794
641ac5ff,IS Sodhi,-11.5356,-0.6409,18,-11.9188
d5130a30,B Sai Sudharsan,-11.8105,-0.1001,118,-12.0148
0494fa6e,Vishnu Vinod,-11.8774,-0.4568,26,-10.1959
39f01cdb,KP Pietersen,-11.9194,-0.1954,61,-14.8671
244048f6,Arshdeep Singh,-12.194,-0.3695,33,-11.9381
23cca426,OF Smith,-12.1999,-0.244,50,-12.501
e087956b,BA Stokes,-12.2565,-0.0247,496,-38.9313
8ba8195d,V Sehwag,-12.2575,-0.1377,89,-16.0972
759ac88f,MM Sharma,-12.258,-0.1094,112,-11.957
ff1e68fa,B Indrajith,-12.338,-0.398,31,-13.0569
76388dc8,S Badree,-12.4207,-0.4968,25,-12.3328
e86754b2,TK Curran,-12.5666,-0.2793,45,-13.195
b0482a1d,Tilak Varma,-13.4981,-0.0431,313,-24.4949
a97c8ec2,PWH de Silva,-13.6485,-0.273,50,-13.7694
350bb1b1,AF Milne,-13.753,-0.4436,31,-15.8261
957532de,S Aravind,-13.8372,-0.3375,41,-13.165
0a3d54b9,VR Aaron,-13.8754,-0.6607,21,-13.2308
26d76ad9,Virat Singh,-14.0599,-0.5408,26,-19.4898
7f048519,DJ Willey,-14.2083,-0.444,32,-16.2576
6aed7e79,PV Tambe,-14.2271,-0.5928,24,-13.5819
e62dd25d,K Rabada,-14.4993,-0.1066,136,-19.0494
dc9dd038,Sachin Baby,-14.6499,-0.1263,116,-18.7678
afa7e784,MS Wade,-14.6914,-0.1013,145,-18.297
da934ee8,MK Lomror,-14.6939,-0.0918,160,-24.2304
acc1aeda,SP Jackson,-14.7808,-0.2593,57,-15.1714
69be866a,Anureet Singh,-14.8726,-0.3164,47,-17.7142
85e0cf10,M Prasidh Krishna,-14.9087,-0.7454,20,-15.5962
dcf81436,S Kaul,-15.201,-0.608,25,-16.6656
7dcb9bc9,M Shahrukh Khan,-15.3862,-0.0652,236,-32.1121
94253925,GH Vihari,-15.848,-0.3602,44,-16.5506
b63e358a,RK Bhui,-16.1463,-0.897,18,-17.8049
9fc0ef64,PJ Sangwan,-16.1481,-1.0765,15,-17.1103
8b5b6769,Harbhajan Singh,-16.271,-0.0695,234,-22.9099
462411b3,JJ Bumrah,-16.3217,-0.2676,61,-20.2385
