batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement
c4487b84,AB de Villiers,647.3051,0.1856,3487,419.2002,False
8ba8195d,V Sehwag,540.8503,0.2951,1833,402.8996,False
db584dad,CH Gayle,497.7657,0.1405,3543,258.5561,False
dcce6f09,DA Warner,475.4608,0.0978,4864,145.1172,False
271f83cd,SA Yadav,446.0119,0.1504,2965,361.5617,False
bbd41817,AD Russell,436.7335,0.2673,1634,450.3537,False
4329fbb5,SR Watson,332.6285,0.1148,2897,70.3837,False
9d430b40,SP Narine,297.8385,0.2576,1156,324.3912,False
b681e71e,GJ Maxwell,269.8855,0.1423,1896,215.2507,False
919a3be2,RR Pant,261.143,0.1036,2521,190.5109,False
2b6e6dec,AC Gilchrist,254.0774,0.1634,1555,99.2229,False
99b75528,JC Buttler,250.3537,0.0872,2872,284.5871,False
f29185a1,Abhishek Sharma,233.1416,0.1994,1169,287.7452,False
3c6ffae8,YK Pathan,207.042,0.0887,2334,24.9928,False
8b3e9c7c,PP Shaw,205.4677,0.1529,1344,204.8899,False
3241e3fd,N Pooran,197.4836,0.1367,1445,223.0314,False
35205dfc,DR Smith,187.2954,0.1039,1803,46.2544,False
6c19c6e5,YBK Jaiswal,179.2047,0.1225,1463,264.649,False
1c17e270,RV Uthappa,175.8194,0.0446,3946,-152.3097,False
1dc12ab9,SK Raina,174.6846,0.0417,4185,-226.2258,False
3d284ca3,PD Salt,172.6412,0.2732,632,258.0735,False
a757b0d8,KA Pollard,165.9935,0.0674,2461,29.2062,False
235c2bb6,H Klaasen,162.7606,0.1794,907,249.2581,False
752f7486,Ishan Kishan,158.185,0.0698,2266,116.5473,False
12b610c2,TM Head,156.1049,0.2211,706,211.4228,False
45eda7c8,CA Lynn,138.6058,0.142,976,83.0643,False
d8699ab7,ML Hayden,128.0807,0.1527,839,20.5966,False
c03f1114,KD Karthik,123.3563,0.0333,3704,-48.9159,False
b5797845,Priyansh Arya,120.3054,0.3795,317,154.7825,False
9418198b,P Simran Singh,114.7714,0.1265,907,209.3822,False
abb83e27,JM Bairstow,113.9505,0.0956,1192,72.1122,False
f233bbb4,ST Jayasuriya,111.803,0.1951,573,51.6638,False
77255a9e,RA Tripathi,109.2766,0.0638,1712,63.967,False
372455c4,Q de Kock,108.956,0.0428,2544,23.8962,False
50c6bc2b,LS Livingstone,101.1892,0.1417,714,136.6052,False
85b3fab2,T Stubbs,97.3406,0.2173,448,152.2776,False
fb66ce1f,CH Morris,97.071,0.2333,416,75.6726,False
a4cc73aa,SV Samson,95.8939,0.0275,3489,21.883,False
f1f99156,TH David,94.1089,0.1796,524,132.843,False
