bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
462411b3,JJ Bumrah,478.4334,0.2193,2182,-499.9142,False
9d430b40,SP Narine,376.0554,0.1749,2150,-566.9539,False
5f547c8b,Rashid Khan,366.1469,0.1989,1841,-557.9168,False
2e81a32d,B Kumar,217.2544,0.0943,2303,-310.8518,False
57ee1fde,YS Chahal,177.218,0.0793,2235,-281.5671,False
495d42a5,R Ashwin,149.2297,0.0798,1871,-362.9393,False
87e562a9,DJ Bravo,148.6267,0.0863,1723,-201.4388,False
0a8fce53,Mustafizur Rahman,134.439,0.1238,1086,-169.7356,False
5b8c830e,KH Pandya,112.1239,0.0795,1410,-261.1119,False
2ed569a0,RD Chahar,111.3594,0.126,884,-177.4619,False
f986ca1a,HV Patel,105.392,0.0845,1247,-139.2301,False
5574750c,JC Archer,101.2184,0.1973,513,-112.4935,False
e2db2409,M Ashwin,98.504,0.1444,682,-134.8548,False
fb66ce1f,CH Morris,96.6578,0.075,1288,-116.1752,False
6b19d823,A Mishra,89.6425,0.0678,1323,-190.5979,False
ce820073,Sandeep Sharma,75.9229,0.0439,1729,-122.6938,False
51a3c5ef,MJ McClenaghan,74.9786,0.0557,1346,-75.5939,False
bb351c23,MM Ali,71.421,0.1343,532,-121.4193,False
a12e1d51,SL Malinga,66.9742,0.0709,945,-57.243,False
7c7d63a2,AJ Tye,64.4606,0.0938,687,-46.3002,False
2cdce1be,C Sakariya,54.9444,0.1357,405,-74.8738,False
c33d8116,Mohsin Khan,54.4257,0.2642,206,-65.2008,False
91a4a398,Z Khan,52.8291,0.0786,672,-62.5662,False
244048f6,Arshdeep Singh,48.739,0.0756,645,-78.5161,False
e087956b,BA Stokes,43.2264,0.0696,621,-48.9326,False
33a364a6,R Bhatia,42.5264,0.1513,281,-46.2337,False
f834dcfc,L Ngidi,39.2159,0.1648,238,-37.4866,False
3fb19989,MA Starc,38.8876,0.143,272,-46.3576,False
56ab442f,NM Coulter-Nile,38.275,0.0566,676,-57.9736,False
e62dd25d,K Rabada,35.8156,0.033,1084,-62.797,False
64839cb3,M Pathirana,34.2535,0.7136,48,-32.0463,False
df064e1a,Ravi Bishnoi,32.2806,0.0576,560,-81.3569,False
a97c8ec2,PWH de Silva,30.2002,0.0791,382,-35.2103,False
85e0cf10,M Prasidh Krishna,29.8879,0.0266,1122,-28.0939,False
75224f22,KMA Paul,28.6546,0.1592,180,-34.908,False
acdc62f5,A Nortje,28.6443,0.0868,330,-55.1016,False
e4a0deae,MJ Santner,28.566,0.1414,202,-50.9142,False
2a2e6343,DT Christian,26.0598,0.0615,424,-40.3696,False
acee4cc4,Imran Tahir,25.0128,0.0219,1143,-117.1637,False
5d2eea49,Kartik Tyagi,24.861,0.1691,147,-26.1438,False
529eb9e0,OC McCoy,24.7695,0.1432,173,-18.7925,False
7ca5e05d,RS Bopara,24.6823,0.2007,123,-32.9518,False
dbe50b21,HH Pandya,23.3032,0.0211,1103,-6.237,False
5b7ab5a9,CV Varun,22.111,0.0326,679,-104.0145,False
3d8feaf8,MR Marsh,21.0639,0.1608,131,-21.5128,False
4329fbb5,SR Watson,20.5194,0.023,894,-2.6208,False
0f721006,JO Holder,20.2657,0.0367,552,-44.3021,False
641ac5ff,IS Sodhi,19.7635,0.1086,182,-31.4549,False
a2f46292,KK Ahmed,19.5274,0.03,651,-46.8758,False
012829ff,JW Hastings,16.6671,0.3968,42,-17.0591,False
c695b423,PH Solanki,16.6262,0.4618,36,-17.1997,False
db584dad,CH Gayle,16.0858,0.2062,78,-20.9297,False
2e171977,AR Patel,15.8949,0.0084,1888,-215.935,False
b822e99c,NB Singh,13.3007,0.532,25,-12.5664,False
c7a995d3,R Sai Kishore,12.52,0.1278,98,-20.7283,False
64775749,RP Meredith,12.3442,0.0427,289,-13.0858,False
7d92277a,Mujeeb Ur Rahman,12.2136,0.0303,403,-44.4807,False
32198ae0,MC Henriques,11.9979,0.0175,684,-44.8915,False
94d7f855,C de Grandhomme,11.5975,0.0504,230,-4.8493,False
7a8bd078,S Gopal,11.4732,0.0202,568,-50.1703,False
