batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement
7bb62642,Anirudh Singh,-10.2668,-0.1488,69,-19.626,True
21d4e29b,Navdeep Saini,-11.2681,-0.1483,76,-17.6068,True
0c9652b0,HR Shokeen,-11.8463,-0.1768,67,-11.2898,True
90edaaa9,S Rana,-12.7542,-0.1555,82,-16.9873,True
7c7d63a2,AJ Tye,-13.0998,-0.1658,79,-11.4243,True
297b26da,Yashpal Singh,-13.7066,-0.2046,67,-26.1274,True
3a02626a,AG Paunikar,-14.4366,-0.2367,61,-19.8154,True
b970a03f,M Klinger,-14.7539,-0.1892,78,-21.7787,True
5bb1a1c4,I Sharma,-15.007,-0.2114,71,-19.333,True
0aadc906,PR Shah,-15.1467,-0.1562,97,-25.3988,True
3d7e087f,SK Trivedi,-16.2202,-0.2659,61,-22.6915,True
663b5e34,PN Mankad,-16.5514,-0.2207,75,-4.8159,True
a84468fe,DJ Jacobs,-17.9617,-0.1778,101,-25.3212,True
7f048519,DJ Willey,-18.1681,-0.2839,64,-15.3472,True
3edb58fc,AD Mascarenhas,-18.7555,-0.2374,79,-26.1751,True
4c5d73db,CR Woakes,-19.7578,-0.2566,77,-22.9964,True
95a2ea61,S Anirudha,-20.0015,-0.1653,121,-33.074,True
36d33dd0,RR Sarwan,-20.0075,-0.2565,78,-23.4229,True
d7c6af50,DL Vettori,-20.2919,-0.172,118,-29.8459,True
facb9086,SD Chitnis,-20.3112,-0.2208,92,-25.3307,True
8cf9814c,Mohammed Shami,-20.3332,-0.2186,93,-21.4259,True
9219eff0,JDS Neesham,-21.1965,-0.2279,93,-29.5473,True
28c78fb3,Harpreet Singh,-21.9704,-0.1846,119,-22.8551,True
16043342,AB McDonald,-22.0581,-0.2142,103,-25.7674,True
462411b3,JJ Bumrah,-22.1527,-0.2735,81,-24.686,True
60500956,RV Patel,-22.3314,-0.2938,76,-22.7498,True
a818c1be,TA Boult,-22.8132,-0.2622,87,-21.8601,True
ce820073,Sandeep Sharma,-23.0066,-0.2876,80,-24.7045,True
2ed569a0,RD Chahar,-23.2103,-0.1828,127,-17.6366,True
5d9a1a73,R Sharma,-24.0567,-0.3124,77,-29.75,True
2461eef2,PA Reddy,-24.1778,-0.1448,167,-38.9332,True
de8d3876,M Rawat,-24.2353,-0.3462,70,-30.4177,True
378daa89,Aman Hakim Khan,-24.2456,-0.2224,109,-13.0466,True
e4a0deae,MJ Santner,-24.9885,-0.2251,111,-23.2998,True
ffe699c0,CJ Jordan,-25.5419,-0.3153,81,-26.2767,True
3dba85c2,WA Mota,-26.1727,-0.3444,76,-35.3525,True
3eac9d95,JDP Oram,-26.3376,-0.2394,110,-43.847,True
a12e1d51,SL Malinga,-26.4455,-0.2568,103,-34.0755,True
96fd40ae,A Nehra,-26.8024,-0.4254,63,-30.7575,True
9ab63e7b,Mohammad Hafeez,-26.931,-0.3206,84,-32.0427,True
2f49c897,Mohammed Siraj,-28.3261,-0.223,127,-28.7756,True
e249fdaa,A Chopra,-28.606,-0.3814,75,-35.4515,True
759ac88f,MM Sharma,-30.9415,-0.221,140,-33.2732,True
9b4935c8,CJ Ferguson,-31.0324,-0.2608,119,-46.51,True
c3d1402f,RP Singh,-31.1889,-0.3999,78,-39.5807,True
0a3d54b9,VR Aaron,-32.4458,-0.4445,73,-35.4566,True
c15e2193,FY Fazal,-32.5461,-0.1818,179,-46.8098,True
bff458c6,AA Bilakhia,-32.9901,-0.3749,88,-44.166,True
c995d726,CA Ingram,-33.1122,-0.1761,188,-42.2941,True
91a4a398,Z Khan,-33.2745,-0.236,141,-42.9551,True
addbde6c,N Saini,-33.7047,-0.2357,143,-41.1648,True
0890552f,A Manohar,-33.8245,-0.1392,243,-19.9748,True
c05edf8e,Harpreet Brar,-34.4384,-0.1609,214,-23.6867,True
bb965e9a,PK Garg,-34.6488,-0.1403,247,-50.8242,True
df064e1a,Ravi Bishnoi,-35.2075,-0.5178,68,-31.8823,True
3fb19989,MA Starc,-35.3889,-0.2949,120,-39.1725,True
dded65e7,IR Jaggi,-35.6337,-0.3563,100,-44.1937,True
a97c8ec2,PWH de Silva,-36.3719,-0.3829,95,-32.7265,True
3a60e0b5,WD Parnell,-36.5395,-0.4249,86,-46.3043,True
f10e94c4,AD Nath,-37.5842,-0.3796,99,-39.6208,True
a1f1829d,K Goel,-38.6183,-0.1616,239,-67.3349,True
4ae1755b,HC Brook,-39.332,-0.2474,159,-15.9153,True
c654af19,R McLaren,-41.2988,-0.232,178,-57.3549,True
605b7efa,MC Juneja,-42.7246,-0.3188,134,-50.222,True
bb18be76,SK Warne,-42.7632,-0.1953,219,-66.2621,True
f846de6a,MN Samuels,-42.7776,-0.2458,174,-64.019,True
57efa3be,SB Styris,-43.9573,-0.328,134,-55.031,True
57ee1fde,YS Chahal,-46.3961,-0.5213,89,-49.6686,True
cf73ad76,JEC Franklin,-46.5259,-0.1506,309,-72.1238,True
2728e7e9,P Dogra,-47.1468,-0.3344,141,-55.4988,True
f5180fe6,MG Johnson,-47.1788,-0.2808,168,-57.398,True
afa7e784,MS Wade,-47.2071,-0.2552,185,-41.9967,True
9d80c5e1,S Nadeem,-48.619,-0.5525,88,-56.4497,True
c8f5f961,Anuj Rawat,-49.7049,-0.1782,279,-37.7099,True
81c36ee9,M Jansen,-49.9368,-0.3672,136,-42.6652,True
662c47a6,Y Nagar,-50.6938,-0.1871,271,-74.9602,True
7c503806,J Botha,-51.8287,-0.1424,364,-98.0884,True
