bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
cca50cd6,LJ Wright,-9.0395,-0.1205,75,3.6196,True
a1f1829d,K Goel,-9.9059,-0.1478,67,-0.9615,True
249d60c9,AU Rashid,-10.3127,-0.1719,60,9.5205,True
e38bce7a,MG Bracewell,-10.9319,-0.1656,66,17.256,True
b52ffbbd,FA Allen,-13.5921,-0.1494,91,3.6161,True
e0351c86,DNT Zoysa,-14.6715,-0.2126,69,8.3269,True
1e030637,V Puthur,-15.4204,-0.2112,73,11.8003,True
1ee08e9a,JA Richardson,-16.1449,-0.1718,94,23.7219,True
cd8d2859,DG Nalkande,-17.2554,-0.1939,89,19.8355,True
26d041c4,Sikandar Raza,-17.5843,-0.1998,88,17.1776,True
25228673,Harsh Dubey,-17.6523,-0.2894,61,17.859,True
3b53243a,XC Bartlett,-17.6898,-0.2948,60,24.5859,True
dbc50253,AP Dole,-19.9357,-0.2731,73,11.7439,True
aaa1b522,TL Suman,-20.9697,-0.138,152,-6.1816,True
6821ac10,JJ van der Wath,-21.5501,-0.2836,76,15.5041,True
2815fe50,AA Jhunjhunwala,-22.5313,-0.256,88,9.6761,True
dddca1d6,SB Wagh,-22.9613,-0.2126,108,5.5109,True
a24be938,VR Iyer,-23.2323,-0.2766,84,21.7259,True
626c5379,R Sathish,-24.1152,-0.1675,144,18.7424,True
662c47a6,Y Nagar,-24.1692,-0.3357,72,14.8061,True
0604ef16,SB Bangar,-24.1816,-0.158,153,12.5115,True
d45c29b1,Ashwani Kumar,-24.1977,-0.1833,132,38.8649,True
de4b0555,R Shukla,-24.3416,-0.1872,130,18.2689,True
cf73ad76,JEC Franklin,-24.9237,-0.1608,155,15.9686,True
aad0c365,Nithish Kumar Reddy,-27.0504,-0.178,152,34.9715,True
cdc6bdba,S Sandeep Warrier,-27.2407,-0.1548,176,33.1687,True
a4e37e47,S Dube,-27.8322,-0.2141,130,16.3948,True
8a668774,Shoaib Ahmed,-27.951,-0.2714,103,16.3808,True
c64c2443,J Syed Mohammad,-29.1747,-0.1489,196,4.6191,True
83c3e8e3,SH Johnson,-29.4455,-0.1712,172,43.6603,True
fa2f1dde,K Khejroliya,-29.6804,-0.2005,148,42.1802,True
d7b3a420,Jaskaran Singh,-29.7779,-0.2683,111,22.4188,True
a03bba42,T Shamsi,-29.8083,-0.2484,120,17.1778,True
b4f5c2d9,KL Nagarkoti,-29.9023,-0.1616,185,20.1721,True
5f4e9e8f,RR Raje,-30.13,-0.2092,144,18.4163,True
6a26221c,AK Markram,-30.7019,-0.1607,191,22.7546,True
ddc0828d,A Flintoff,-32.7908,-0.4968,66,24.5995,True
b8527c3d,Rasikh Salam,-32.9296,-0.1291,255,72.9876,True
8db7f47f,RJW Topley,-33.2103,-0.2657,125,50.4814,True
4353bba5,YA Abdulla,-33.2882,-0.1499,222,6.7844,True
