bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
462411b3,JJ Bumrah,478.4334,0.2193,2182,-499.9142,False,930.3469921568628,0.4263735069463166,8.348149261373194,0.003825916251775066
9d430b40,SP Narine,376.0554,0.1749,2150,-566.9539,False,821.3414784313726,0.38201929229366166,7.370025715465469,0.0034279189374257996
5f547c8b,Rashid Khan,366.1469,0.1989,1841,-557.9168,False,747.4360490196079,0.4059945947960934,6.706860723095326,0.003643053081529237
2e81a32d,B Kumar,217.2544,0.0943,2303,-310.8518,False,694.2282784313726,0.30144519254510316,6.229419064789197,0.0027049149217495427
57ee1fde,YS Chahal,177.218,0.0793,2235,-281.5671,False,640.1084117647059,0.28640197394394,5.743793025528813,0.0025699297653372765
495d42a5,R Ashwin,149.2297,0.0798,1871,-362.9393,False,536.732143137255,0.2868691304849038,4.816181577476468,0.002574121634140282
87e562a9,DJ Bravo,148.6267,0.0863,1723,-201.4388,False,505.47689215686273,0.29337022179736666,4.535723315574545,0.002632456944616683
ce820073,Sandeep Sharma,75.9229,0.0439,1729,-122.6938,False,434.0157509803922,0.25102125562775723,3.8944913043373313,0.002252453038945825
2e171977,AR Patel,15.8949,0.0084,1888,-215.935,False,406.91820980392157,0.2155287128198737,3.6513408236409397,0.0019339728938776164
5b8c830e,KH Pandya,112.1239,0.0795,1410,-261.1119,False,404.14872352941177,0.2866303003754693,3.626489789573175,0.0025719785741653723
fe93fd9d,RA Jadeja,-0.7601,-0.0004,1813,-212.9451,False,374.7299745098039,0.20669055405946163,3.362510747378181,0.0018546667111848764
f986ca1a,HV Patel,105.392,0.0845,1247,-139.2301,False,363.6579254901961,0.29162624337625986,3.2631595175422676,0.002616807953121305
6b19d823,A Mishra,89.6425,0.0678,1323,-190.5979,False,363.64877058823527,0.27486679560713173,3.263077369173233,0.0024664228036078858
fb66ce1f,CH Morris,96.6578,0.075,1288,-116.1752,False,363.4152274509804,0.28215467969796615,3.2609817500276783,0.002531818128903477
0a8fce53,Mustafizur Rahman,134.439,0.1238,1086,-169.7356,False,359.3602470588235,0.3309026216011266,3.2245957759222668,0.002969241045968938
51a3c5ef,MJ McClenaghan,74.9786,0.0557,1346,-75.5939,False,353.74839607843137,0.26281455875069193,3.174239758208611,0.0023582761948058033
cc1e8c68,UT Yadav,-23.135,-0.0145,1599,60.0721,False,308.03357647058823,0.19264138616046794,2.7640335225134045,0.0017286013274005032
2ed569a0,RD Chahar,111.3594,0.126,884,-177.4619,False,294.4444666666667,0.33308197586727,2.642096312065371,0.0029887967331056232
