team,price_cr,total_WAR,price_name,war_per_crore
Mumbai Indians,119.8,10.210962483801719,23,0.08523340971453856
Punjab Kings,119.8,8.661040490593571,24,0.07229583047240043
Delhi Capitals,116.75,7.569299712168268,24,0.06483340224555262
Rajasthan Royals,120.3,7.767308484092522,21,0.0645661553124898
Sunrisers Hyderabad,120.4,7.689126886799315,22,0.06386318012291789
Gujarat Titans,119.85,6.875688399869478,25,0.05736911472565272
Royal Challengers Bengaluru,117.35,6.622572596596141,18,0.0564343638397626
Kolkata Knight Riders,107.95,5.885003021665494,21,0.05451600761153769
Lucknow Super Giants,119.9,5.502160416774849,24,0.045889578121558375
Chennai Super Kings,119.7,4.224192381938445,25,0.035289827752200874
