price_name,cricwar_name,team,price_cr,total_WAR,batting_WAR,bowling_WAR,match_type,war_per_crore,price_per_1_war
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,18.0,0.3812044056693703,0.3812044056693703,0.0,exact,0.02117802253718724,47.21876172546632
Ravindra Jadeja,RA Jadeja,Chennai Super Kings,18.0,0.7325244669576573,0.4478547911192044,0.2846696758384529,exact,0.04069580371986985,24.572558067252203
Matheesha Pathirana,M Pathirana,Chennai Super Kings,13.0,0.9538104339922012,0.0,0.9538104339922012,exact,0.07337003338401547,13.629542660367138
Shivam Dube,,Chennai Super Kings,12.0,0.0,0.0,0.0,none,0.0,
MS Dhoni,MS Dhoni,Chennai Super Kings,4.0,0.2375930396448868,0.2375930396448868,0.0,exact,0.0593982599112217,16.835510021583595
Ravichandran Ashwin,R Ashwin,Chennai Super Kings,9.75,0.1274165905298216,0.0452064811278919,0.0822101094019297,exact,0.013068368259468882,76.52064742477968
Noor Ahmad,Noor Ahmad,Chennai Super Kings,10.0,0.9461705601668969,-0.0648749763355588,1.0110455365024558,exact,0.0946170560166897,10.568918988809036
Devon Conway,DP Conway,Chennai Super Kings,6.25,0.1897601346375582,0.1897601346375582,0.0,exact,0.03036162154200931,32.93631727199972
Khaleel Ahmed,KK Ahmed,Chennai Super Kings,4.8,-0.0942446114256589,-0.0044318354958426,-0.0898127759298163,exact,-0.019634294047012273,
Rachin Ravindra,R Ravindra,Chennai Super Kings,4.0,0.5196771308317104,0.5196771308317104,0.0,exact,0.1299192827079276,7.697086830814072
Anshul Kamboj,A Kamboj,Chennai Super Kings,3.4,0.2354516299604064,0.0135233296975896,0.2219283002628168,exact,0.06925047940011952,14.440333246245714
Rahul Tripathi,RA Tripathi,Chennai Super Kings,3.4,0.0312369608579569,0.0312369608579569,0.0,exact,0.009187341428810853,
Sam Curran,SM Curran,Chennai Super Kings,2.4,0.17162654455497198,0.2754267147788805,-0.1038001702239085,exact,0.07151106023123832,13.983850844420397
Gurjapneet Singh,,Chennai Super Kings,2.2,0.0,0.0,0.0,none,0.0,
Nathan Ellis,NT Ellis,Chennai Super Kings,2.0,-0.0211701301951006,0.0,-0.0211701301951006,exact,-0.0105850650975503,
Deepak Hooda,DJ Hooda,Chennai Super Kings,1.7,-0.059560594965995806,-0.026808760097108,-0.0327518348688878,exact,-0.03503564409764459,
Jamie Overton,J Overton,Chennai Super Kings,1.5,-0.063503782404813,0.0603854040647091,-0.1238891864695221,exact,-0.042335854936541996,
Vijay Shankar,,Chennai Super Kings,1.2,0.0,0.0,0.0,none,0.0,
Mukesh Choudhary,Mukesh Choudhary,Chennai Super Kings,0.3,-0.1416376544468,0.0,-0.1416376544468,exact,-0.4721255148226666,
Shaik Rasheed,SK Rasheed,Chennai Super Kings,0.3,0.0778372575733751,0.0778372575733751,0.0,fuzzy,0.2594575252445837,
Kamlesh Nagarkoti,KL Nagarkoti,Chennai Super Kings,0.3,0.0,0.0,0.0,metadata_only,0.0,
Ramakrishna Ghosh,,Chennai Super Kings,0.3,0.0,0.0,0.0,none,0.0,
Shreyas Gopal,,Chennai Super Kings,0.3,0.0,0.0,0.0,none,0.0,
Vansh Bedi,,Chennai Super Kings,0.3,0.0,0.0,0.0,none,0.0,
Andre Siddarth,,Chennai Super Kings,0.3,0.0,0.0,0.0,none,0.0,
Axar Patel,AR Patel,Delhi Capitals,16.5,0.8770431993892213,0.5078608769634962,0.369182322425725,fuzzy,0.05315413329631644,18.813212406744285
Kuldeep Yadav,Kuldeep Yadav,Delhi Capitals,13.25,1.5155817653288712,0.0229029408558518,1.4926788244730194,exact,0.11438352945878273,8.74251743001463
Tristan Stubbs,T Stubbs,Delhi Capitals,10.0,0.4166681389926449,0.5887508735779252,-0.1720827345852803,exact,0.041666813899264486,23.99991519432332
Abishek Porel,Abishek Porel,Delhi Capitals,4.0,0.6324913580075316,0.6324913580075316,0.0,exact,0.1581228395018829,6.324197080890975
KL Rahul,KL Rahul,Delhi Capitals,14.0,1.1684811838289684,1.1684811838289684,0.0,exact,0.08346294170206917,11.981365377338582
Mitchell Starc,,Delhi Capitals,11.75,0.0,0.0,0.0,none,0.0,
