price_name,cricwar_name,team,price_cr,total_WAR,batting_WAR,bowling_WAR,match_type,war_per_crore,price_per_1_war
Mohammed Shami,Mohammed Shami,Sunrisers Hyderabad,10.0,-0.1957652036034724,-0.0011852099749405,-0.1945799936285319,exact,-0.01957652036034724,
Ravi Bishnoi,Ravi Bishnoi,Lucknow Super Giants,11.0,-0.1369680543923017,-0.0263848356811339,-0.1105832187111678,exact,-0.012451641308391064,
David Miller,DA Miller,Lucknow Super Giants,7.5,-0.0446883820336662,-0.0446883820336662,0.0,exact,-0.00595845093782216,
Jake Fraser-McGurk,J Fraser-McGurk,Delhi Capitals,9.0,-0.0525572427573088,-0.0525572427573088,0.0,exact,-0.005839693639700978,
Mayank Yadav,MP Yadav,Lucknow Super Giants,11.0,-0.0503719863543038,0.0,-0.0503719863543038,exact,-0.004579271486754891,
T Natarajan,T Natarajan,Delhi Capitals,10.75,-0.0417403882691899,0.0,-0.0417403882691899,exact,-0.0038828268157385954,
Kagiso Rabada,K Rabada,Gujarat Titans,10.75,-0.0236562740339667,-0.0168605335800644,-0.0067957404539023,exact,-0.0022005836310666697,
Anrich Nortje,A Nortje,Kolkata Knight Riders,6.5,-0.0103826482151646,0.0,-0.0103826482151646,exact,-0.0015973304946407076,
Marco Jansen,,Punjab Kings,7.0,0.0,0.0,0.0,none,0.0,
Rasikh Dar,,Royal Challengers Bengaluru,6.0,0.0,0.0,0.0,none,0.0,
Shivam Dube,,Chennai Super Kings,12.0,0.0,0.0,0.0,none,0.0,
Mitchell Starc,,Delhi Capitals,11.75,0.0,0.0,0.0,none,0.0,
Harry Brook,,Delhi Capitals,6.25,0.0,0.0,0.0,none,0.0,
Wanindu Hasaranga,,Rajasthan Royals,5.25,0.0,0.0,0.0,none,0.0,
Akash Deep,Akash Deep,Lucknow Super Giants,8.0,0.024676152860594602,0.0373715393190508,-0.0126953864584562,exact,0.0030845191075743253,
