price_name,team,role_category,is_overseas,price_cr,price_norm,total_WAR,roi_basic,xWAR_price_only,vope_simple,xWAR_market_adj,vomam_score
Priyansh Arya,Punjab Kings,unknown,0,3.8,3.166666666666666,1.880232148829464,0.5937575206829887,0.3126733881733592,1.5675587606561048,0.2969175096975588,1.5833146391319053
Mitchell Marsh,Lucknow Super Giants,unknown,1,3.4,2.833333333333333,1.3439105164762368,0.4743213587563189,0.2897619173418693,1.0541485991343675,0.26040608215337974,1.083504434322857
Suryakumar Yadav,Mumbai Indians,unknown,0,16.35,13.625000000000002,1.868321249735833,0.13712449539345561,0.839450732825137,1.028870516910696,0.8361505559846545,1.0321706937511785
Sunil Narine,Kolkata Knight Riders,unknown,1,12.0,10.0,1.6561907843991377,0.16561907843991377,0.6990175867174975,0.9571731976816402,0.6299203608839791,1.0262704235151587
Aiden Markram,Lucknow Super Giants,unknown,1,2.0,1.6666666666666667,1.044836929148336,0.6269021574890016,0.20659361851243244,0.8382433106359035,0.20025259491816594,0.84458433423017
Ryan Rickelton,Mumbai Indians,unknown,1,1.0,0.8333333333333334,0.9725943964696054,1.1671132757635265,0.14435135656833745,0.828243039901268,0.15728581832158461,0.8153085781480208
Kuldeep Yadav,Delhi Capitals,unknown,0,13.25,11.041666666666666,1.5155817653288712,0.1372602353505393,0.7439514369885429,0.7716303283403283,0.7029535485352523,0.812628216793619
Prasidh Krishna,Gujarat Titans,unknown,0,9.5,7.916666666666666,1.350993057845549,0.17065175467522725,0.598070455672348,0.752922602173201,0.5418281362980722,0.8091649215474767
Vipraj Nigam,Delhi Capitals,unknown,0,0.5,0.4166666666666667,0.9131403381228456,2.1915368114948293,0.11234387115604527,0.8007964669668003,0.15512714692884053,0.758013191194005
Sai Sudharsan,Gujarat Titans,unknown,0,8.5,7.083333333333333,1.2506551113015227,0.17656307453668557,0.5535552825331462,0.6970998287683765,0.49886135970149104,0.7517937516000317
Vaibhav Suryavanshi,Rajasthan Royals,unknown,0,1.1,0.9166666666666666,0.9246488151581256,1.008707798354319,0.15068194529557632,0.7739668698625493,0.1809072128867893,0.7437416022713363
Phil Salt,Royal Challengers Bengaluru,unknown,1,11.5,9.583333333333334,1.3262277655073518,0.13838898422685408,0.6800099664287937,0.646217799078558,0.6084369725856884,0.7177907929216634
Abhishek Sharma,Sunrisers Hyderabad,unknown,0,14.0,11.666666666666666,1.445687684792284,0.12391608726791006,0.7691390382706811,0.6765486465216028,0.7351786309826882,0.7105090538095957
Jasprit Bumrah,Mumbai Indians,unknown,0,18.0,15.0,1.5867704263286029,0.10578469508857352,0.8810185992892188,0.7057518270393841,0.9070457373690135,0.6797246889595894
Riyan Parag,Rajasthan Royals,unknown,0,14.0,11.666666666666666,1.3817563525565908,0.11843625879056494,0.7691390382706811,0.6126173142859097,0.7351786309826882,0.6465777215739026
Naman Dhir,Mumbai Indians,unknown,0,5.25,4.375,0.9824449718171214,0.22455885070105633,0.39255727555623515,0.5898876962608863,0.3592193357626018,0.6232256360545196
Mitchell Santner,Mumbai Indians,unknown,1,2.0,1.6666666666666667,0.7758247728069846,0.46549486368419074,0.20659361851243244,0.5692311542945522,0.20025259491816594,0.5755721778888186
Krunal Pandya,Royal Challengers Bengaluru,unknown,0,5.75,4.791666666666667,0.861644766054834,0.1798215163940523,0.4189511828469778,0.4426935832078562,0.38070272406089245,0.4809420419939415
Aniket Verma,Sunrisers Hyderabad,unknown,0,0.3,0.25,0.619498958588883,2.477995834355532,0.09937542416228275,0.5201235344266003,0.14653379160952426,0.47296516697935875
Shashank Singh,Punjab Kings,unknown,0,5.5,4.583333333333333,0.8311677078765443,0.18134568171851875,0.40582809207162684,0.4253396158049174,0.36996102991174706,0.4612066779647972
Karun Nair,Delhi Capitals,unknown,0,0.5,0.4166666666666667,0.6129926670954184,1.4711824010290042,0.11234387115604527,0.5006487959393732,0.15512714692884053,0.4578655201665779
Josh Inglis,Punjab Kings,unknown,1,2.6,2.166666666666667,0.6758943320405902,0.3119512301725801,0.2428044419953763,0.4330898900452139,0.22603266087611473,0.4498616711644755
KL Rahul,Delhi Capitals,unknown,0,14.0,11.666666666666666,1.1684811838289684,0.10015553004248301,0.7691390382706811,0.3993421455582873,0.7351786309826882,0.43330255284628016
