team,Total_WAR,Total_Spend_Cr,Num_Players,WAR_per_Crore,Avg_WAR_per_Player
Mumbai Indians,1.53,18.8,4,0.081,0.382
Punjab Kings,4.34,63.2,15,0.069,0.289
Delhi Capitals,4.32,68.0,8,0.064,0.54
Royal Challengers Bengaluru,0.75,12.6,3,0.06,0.25
Chennai Super Kings,1.04,24.3,4,0.043,0.26
Rajasthan Royals,1.15,28.75,8,0.04,0.144
Kolkata Knight Riders,0.55,14.0,4,0.039,0.138
Sunrisers Hyderabad,2.47,74.8,12,0.033,0.206
Gujarat Titans,2.39,86.75,10,0.028,0.239
Lucknow Super Giants,0.93,71.6,13,0.013,0.072
