player_name,WAR,VORP,RAA,balls,auction_price_cr,team,role,war_per_crore,est_matches,war_per_match,war_per_cr_per_match,vorp_per_crore,price_bucket
Priyansh Arya,1.880232148829464,201.88052581981955,120.30541424087218,317,3.8,Punjab Kings,Batter,0.49479793390249055,24.384615384615383,0.07710731209710736,0.02029139792029141,53.12645416311041,Mid-tier (2-5 Cr)
Abhishek Sharma,1.4545052345114453,156.1702270294939,93.89522071370442,242,14.0,Sunrisers Hyderabad,Batter,0.10389323103653181,18.615384615384617,0.07813457871342475,0.005581041336673196,11.155016216392422,Marquee (>10 Cr)
KL Rahul,1.1684811838289684,125.45982470771634,28.701963655084757,376,14.0,Delhi Capitals,Batter,0.08346294170206917,28.923076923076923,0.04039961539834199,0.002885686814167285,8.961416050551167,Marquee (>10 Cr)
Shubman Gill,0.9323522322937584,100.10665918138083,-11.833951344934963,435,16.5,Gujarat Titans,Batter,0.05650619589659142,33.46153846153846,0.027863400045560597,0.0016886909118521574,6.06707025341702,Marquee (>10 Cr)
Shashank Singh,0.8556557076154844,91.87175332667456,30.626085958253498,238,5.5,Punjab Kings,Batter,0.15557376502099715,18.307692307692307,0.04673749663445923,0.00849772666081077,16.703955150304466,Premium (5-10 Cr)
Naman Dhir,0.8327654389140456,89.41402517620108,52.87249254462212,142,5.25,Mumbai Indians,Batter,0.15862198836458014,10.923076923076923,0.07623908947804643,0.014521731329151702,17.031242890704966,Premium (5-10 Cr)
Ishan Kishan,0.6718706482948995,72.13875150742336,8.834406244265463,246,11.25,Sunrisers Hyderabad,Batter,0.05972183540399107,18.923076923076923,0.03550535946273859,0.0031560319522434305,6.412333467326521,Marquee (>10 Cr)
Abishek Porel,0.6324913580075316,67.91059710926868,12.06895921453183,217,4.0,Delhi Capitals,Batter,0.1581228395018829,16.692307692307693,0.03789118734607332,0.00947279683651833,16.97764927731717,Mid-tier (2-5 Cr)
Dhruv Jurel,0.6301697018054911,67.66132088285559,11.305013514434528,219,14.0,Rajasthan Royals,Batter,0.04501212155753508,16.846153846153847,0.03740733389712961,0.0026719524212235435,4.832951491632542,Marquee (>10 Cr)
Aniket Verma,0.619498958588883,66.51560318368837,28.430062131056793,148,0.3,Sunrisers Hyderabad,Batter,2.06499652862961,11.384615384615385,0.05441544906523973,0.18138483021746576,221.71867727896125,Budget (<2 Cr)
Tilak Varma,0.4853255464722896,52.10940392472973,-14.540292917375538,259,8.0,Mumbai Indians,Batter,0.0606656933090362,19.923076923076923,0.024359969514053146,0.0030449961892566432,6.513675490591217,Premium (5-10 Cr)
Ashutosh Sharma,0.4110190327859542,44.13111355022791,7.589580918648959,142,3.8,Delhi Capitals,Batter,0.1081629033647248,10.923076923076923,0.03762850300153102,0.009902237631981848,11.613450934270503,Mid-tier (2-5 Cr)
Abdul Samad,0.3336386452089092,35.82278133608058,10.603977125554264,98,4.2,Lucknow Super Giants,Batter,0.07943777266878789,7.538461538461538,0.04425818762975326,0.010537663721369824,8.529233651447758,Mid-tier (2-5 Cr)
