bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
9d430b40,SP Narine,867.4666,0.1962,4421,-1181.7812,False,1911.6797326530611,0.4324088967774397,17.80490775146217,0.0040273485074558
462411b3,JJ Bumrah,819.0611,0.2358,3474,-809.9375,False,1639.598630612245,0.4719627606828569,15.27081229603262,0.0043957433206772
495d42a5,R Ashwin,434.8103,0.0893,4868,-897.6567,False,1584.6020959183677,0.3255139884795331,14.758588302573417,0.0030317560194275
2e81a32d,B Kumar,404.8813,0.0925,4378,-456.1282,False,1438.9380959183677,0.3286747592321534,13.401910173695816,0.0030611946490853
a12e1d51,SL Malinga,639.2935,0.215,2974,-775.6538,False,1341.7340918367347,0.4511547047198166,12.496576348063677,0.0042019422824692
5f547c8b,Rashid Khan,478.9919,0.148,3237,-630.0975,False,1243.5514816326531,0.3841678967045576,11.582128029330203,0.0035780438768397
87e562a9,DJ Bravo,268.2369,0.0814,3296,-422.9964,False,1046.7319204081632,0.3175764321626709,9.748999774932749,0.0029578276016179
2e171977,AR Patel,241.8962,0.0717,3373,-426.5659,False,1038.5781489795918,0.3079093237413554,9.67305758355389,0.0028677905673151
57ee1fde,YS Chahal,103.2426,0.0264,3905,-343.6359,False,1025.5796918367348,0.2626324434921216,9.55199319897797,0.0024460930087011
8b5b6769,Harbhajan Singh,164.4065,0.047,3496,-601.8769,False,990.1402959183674,0.2832209084434689,9.221919513351574,0.0026378488310502
fe93fd9d,RA Jadeja,-22.3081,-0.0054,4135,-418.1948,False,954.3535836734694,0.2307989319645633,8.888611010172413,0.0021496036300296
6b19d823,A Mishra,116.5081,0.0338,3444,-556.9026,False,929.9598142857144,0.270023174879708,8.661413532351872,0.0025149284356422
8fd1a8f5,DW Steyn,386.7874,0.1695,2282,-513.131,False,925.7818285714286,0.4056887942907224,8.62250081650352,0.0037784841439542
ce820073,Sandeep Sharma,79.797,0.0252,3168,-75.3597,False,828.0592040816327,0.2613823245207174,7.712336689870828,0.0024344497127117
f986ca1a,HV Patel,164.7392,0.0638,2583,-49.9322,False,774.8279857142858,0.2999721199048725,7.216554411940198,0.0027938654324197
5b8c830e,KH Pandya,169.9616,0.0689,2466,-352.5772,False,752.4157020408163,0.3051158564642401,7.007811997355973,0.0028417729105255
4ba44e19,M Muralitharan,362.0874,0.229,1581,-476.9982,False,735.5099204081632,0.4652181659760678,6.85035576800211,0.0043329258494637
98ae73b1,PP Chawla,-200.1112,-0.0514,3895,-217.6462,False,719.8639530612245,0.1848174462288124,6.70463313437455,0.0017213435518291
e938e1bc,P Kumar,72.9802,0.0277,2637,-196.6954,False,695.8234551020408,0.2638693420940617,6.480725938440407,0.00245761317347
91a4a398,Z Khan,139.5322,0.0613,2276,-241.0942,False,677.1094653061225,0.2974997650729888,6.306428509699187,0.0027708385367746
cc1e8c68,UT Yadav,-91.8428,-0.0288,3190,54.6112,False,661.6156693877551,0.2074030311560361,6.162123162765545,0.0019317000510236
4329fbb5,SR Watson,146.5518,0.0686,2137,-256.7914,False,651.2981163265306,0.3047721648696914,6.066028049479507,0.0028385718528214
5b7ab5a9,CV Varun,157.4532,0.0815,1932,-185.5988,False,613.7797714285715,0.3176913930789707,5.716591552096848,0.0029588983188907
2f49c897,Mohammed Siraj,15.1426,0.0062,2450,-7.5898,False,593.8176000000001,0.2423745306122449,5.530668871255679,0.0022574158658186
8d2c70ad,Kuldeep Yadav,80.1008,0.0377,2123,-144.161,False,581.5404020408164,0.273923882261336,5.416322114643714,0.0025512586503267
33a364a6,R Bhatia,186.9899,0.1126,1661,-289.9642,False,579.307930612245,0.3487705783336814,5.39552943312675,0.0032483620909854
fb66ce1f,CH Morris,144.4797,0.0802,1801,-199.1147,False,569.8648734693878,0.3164158098108761,5.307579156493844,0.0029470178547994
5bb1a1c4,I Sharma,-44.909,-0.0176,2553,6.5318,False,558.0939693877551,0.2186031999168645,5.197947894653807,0.002036015626578
8cf9814c,Mohammed Shami,-91.2738,-0.0337,2708,136.0295,False,548.3392204081633,0.2024886338287161,5.107094598071925,0.0018859285812673
a818c1be,TA Boult,-121.1557,-0.0435,2785,174.1553,False,536.6442489795918,0.1926909332063166,4.998170554004815,0.0017946752438078
e62dd25d,K Rabada,51.0273,0.0255,1999,-15.9414,False,523.1788612244898,0.2617202907576237,4.872757294282419,0.0024375974458641
3d7e087f,SK Trivedi,151.4857,0.0973,1557,-274.1745,False,519.2395673469389,0.3334871980391387,4.836067694608548,0.0031060165026387
244048f6,Arshdeep Singh,84.1712,0.0462,1821,21.447,False,514.2802510204082,0.2824163926526129,4.789877860508223,0.0026303557718331
86dc8f2e,JH Kallis,82.7879,0.046,1799,-204.8685,False,507.7006857142857,0.2822127213531327,4.72859743193055,0.0026284588281993
5fa06777,IK Pathan,1.227,0.0006,2113,-150.0982,False,500.30466326530615,0.2367745685117397,4.659712725364629,0.0022052592169259
0a8fce53,Mustafizur Rahman,159.1492,0.1122,1419,-160.1272,False,494.308312244898,0.3483497619766723,4.6038642090362245,0.0032444427124991
6c6591ab,PP Ojha,34.4292,0.0177,1945,-330.2735,False,493.8262918367347,0.2538952657258276,4.599374791297952,0.0023647171163485
2ed569a0,RD Chahar,83.676,0.0491,1703,-178.0222,False,485.9141734693878,0.2853283461358706,4.52568329619916,0.0026574769795649
5bb5a915,M Morkel,82.5777,0.0486,1699,-167.2909,False,483.8710979591837,0.2847975856145872,4.506654600980443,0.0026525336085817
5574750c,JC Archer,179.0064,0.14,1279,-187.7889,False,481.0983693877552,0.3761519698105982,4.48083009931791,0.0035033855350413
85e0cf10,M Prasidh Krishna,84.9897,0.0533,1595,-22.9751,False,461.7189346938776,0.2894789559209264,4.300334882935033,0.0026961347228432
df064e1a,Ravi Bishnoi,57.8609,0.0341,1696,-134.0664,False,458.44571632653066,0.2703099742491336,4.269848944267826,0.0025175996133654
64839cb3,M Pathirana,259.5004,0.326,796,-216.8244,False,447.51072653061226,0.5621994051892114,4.168003179386852,0.0052361848987272
c3d1402f,RP Singh,4.0153,0.0021,1874,-144.0202,False,446.6426265306123,0.2383365136235924,4.1599179127205606,0.0022198067837356
759ac88f,MM Sharma,-163.5888,-0.0662,2471,171.7303,False,420.04627142857146,0.1699903971787015,3.912206101464513,0.0015832481187634
1abb78f8,SN Thakur,-108.2783,-0.0491,2205,135.3741,False,412.5292,0.1870880725623582,3.8421939749243,0.0017424915986051
ded9240e,PJ Cummins,12.7081,0.0076,1682,60.479,False,409.9862020408163,0.2437492283239098,3.8185091268286495,0.0022702194570919
0c2730df,A Kumble,168.5631,0.1715,983,-321.1931,False,400.741681632653,0.407672107459464,3.732407971775117,0.003796956227645
96fd40ae,A Nehra,-66.9038,-0.0339,1974,-102.7347,False,399.3429142857143,0.2023013750180923,3.719380201928209,0.001884184499457
ce794613,T Natarajan,59.948,0.0419,1431,2.9992,False,397.9414387755102,0.2780862605000071,3.706327208924781,0.0025900260020438
